timestamp,root_path,total_files,total_bytes
2026-05-01T00:00:00,/synthetic/storage,85279,109263029470
2026-05-02T00:00:00,/synthetic/storage,82208,108169391561
2026-05-03T00:00:00,/synthetic/storage,84705,109061479461
2026-05-04T00:00:00,/synthetic/storage,106912,117046321103
2026-05-05T00:00:00,/synthetic/storage,110537,118289745875
2026-05-06T00:00:00,/synthetic/storage,112797,119129609159
2026-05-07T00:00:00,/synthetic/storage,117255,120731674572
2026-05-08T00:00:00,/synthetic/storage,115958,120293895632
2026-05-09T00:00:00,/synthetic/storage,118182,121081767567
2026-05-10T00:00:00,/synthetic/storage,120591,121925659671
2026-05-11T00:00:00,/synthetic/storage,125360,123664408310
2026-05-12T00:00:00,/synthetic/storage,126968,124184918139
2026-05-13T00:00:00,/synthetic/storage,124062,123182129851
2026-05-14T00:00:00,/synthetic/storage,127367,124304153741
2026-05-15T00:00:00,/synthetic/storage,131899,125892360385
2026-05-16T00:00:00,/synthetic/storage,133461,126459989985
2026-05-17T00:00:00,/synthetic/storage,135940,127256891378
2026-05-18T00:00:00,/synthetic/storage,138078,127999298188
2026-05-19T00:00:00,/synthetic/storage,139199,128340151084
2026-05-20T00:00:00,/synthetic/storage,145115,130457658248
2026-05-21T00:00:00,/synthetic/storage,147894,131463725350
2026-05-22T00:00:00,/synthetic/storage,154569,133870682115
2026-05-23T00:00:00,/synthetic/storage,158520,135303285450
2026-05-24T00:00:00,/synthetic/storage,159823,135803522808
2026-05-25T00:00:00,/synthetic/storage,161304,136329710909
2026-05-26T00:00:00,/synthetic/storage,166259,138096624727
2026-05-27T00:00:00,/synthetic/storage,168140,138770087273
2026-05-28T00:00:00,/synthetic/storage,170004,139432761721
2026-05-29T00:00:00,/synthetic/storage,174133,140880290075
2026-05-30T00:00:00,/synthetic/storage,176685,141795864990
2026-05-31T00:00:00,/synthetic/storage,178084,142273150065
2026-06-01T00:00:00,/synthetic/storage,180943,143281577665
2026-06-02T00:00:00,/synthetic/storage,186294,145190964490
2026-06-03T00:00:00,/synthetic/storage,188900,146138749651
2026-06-04T00:00:00,/synthetic/storage,194331,148073660446
2026-06-05T00:00:00,/synthetic/storage,198295,149534360023
2026-06-06T00:00:00,/synthetic/storage,200340,150222141706
2026-06-07T00:00:00,/synthetic/storage,202222,150886313786
2026-06-08T00:00:00,/synthetic/storage,229621,160731946329
2026-06-09T00:00:00,/synthetic/storage,235716,162939961929
2026-06-10T00:00:00,/synthetic/storage,238193,163822309332
2026-06-11T00:00:00,/synthetic/storage,241107,164895585897
2026-06-12T00:00:00,/synthetic/storage,247247,167110850461
2026-06-13T00:00:00,/synthetic/storage,250761,168386101336
2026-06-14T00:00:00,/synthetic/storage,252507,169012949035
2026-06-15T00:00:00,/synthetic/storage,254600,169729624889
2026-06-16T00:00:00,/synthetic/storage,256835,170543808236
2026-06-17T00:00:00,/synthetic/storage,259855,171642501683
2026-06-18T00:00:00,/synthetic/storage,264886,173418752736
2026-06-19T00:00:00,/synthetic/storage,268271,174642102781
2026-06-20T00:00:00,/synthetic/storage,272550,176167499065
2026-06-21T00:00:00,/synthetic/storage,275954,177405511515
2026-06-22T00:00:00,/synthetic/storage,264003,173173265598
2026-06-23T00:00:00,/synthetic/storage,266208,174018024973
2026-06-24T00:00:00,/synthetic/storage,268024,174675877571
2026-06-25T00:00:00,/synthetic/storage,270428,175553026468
2026-06-26T00:00:00,/synthetic/storage,262231,172599902821
2026-06-27T00:00:00,/synthetic/storage,265294,173653649314
2026-06-28T00:00:00,/synthetic/storage,267026,174249073878
2026-06-29T00:00:00,/synthetic/storage,271577,175887560447
2026-06-30T00:00:00,/synthetic/storage,276887,177841979487
2026-07-01T00:00:00,/synthetic/storage,280182,178994767244
2026-07-02T00:00:00,/synthetic/storage,285295,180776140865
2026-07-03T00:00:00,/synthetic/storage,291163,182883107828
2026-07-04T00:00:00,/synthetic/storage,295095,184343205576
2026-07-05T00:00:00,/synthetic/storage,298725,185609915502
2026-07-06T00:00:00,/synthetic/storage,303122,187180077539
2026-07-07T00:00:00,/synthetic/storage,304966,187818679007
2026-07-08T00:00:00,/synthetic/storage,307522,188755784787
2026-07-09T00:00:00,/synthetic/storage,314297,191136849421
2026-07-10T00:00:00,/synthetic/storage,317811,192378023366
2026-07-11T00:00:00,/synthetic/storage,320346,193288551530
2026-07-12T00:00:00,/synthetic/storage,323936,194574296316
2026-07-13T00:00:00,/synthetic/storage,346029,202514978231
2026-07-14T00:00:00,/synthetic/storage,349119,203657504568
2026-07-15T00:00:00,/synthetic/storage,352306,204786908411
2026-07-16T00:00:00,/synthetic/storage,357753,206791142395
2026-07-17T00:00:00,/synthetic/storage,362589,208524250840
2026-07-18T00:00:00,/synthetic/storage,365264,209476454684
2026-07-19T00:00:00,/synthetic/storage,368537,210665480895
2026-07-20T00:00:00,/synthetic/storage,372281,211964452111
2026-07-21T00:00:00,/synthetic/storage,374813,212866416511
2026-07-22T00:00:00,/synthetic/storage,380469,214881296135
2026-07-23T00:00:00,/synthetic/storage,370799,211414755705
2026-07-24T00:00:00,/synthetic/storage,376766,213535742970
2026-07-25T00:00:00,/synthetic/storage,379679,214573383038
2026-07-26T00:00:00,/synthetic/storage,381959,215459968725
2026-07-27T00:00:00,/synthetic/storage,386416,217085103401
2026-07-28T00:00:00,/synthetic/storage,390628,218621588731
2026-07-29T00:00:00,/synthetic/storage,392841,219449356949
2026-07-30T00:00:00,/synthetic/storage,396083,220600975388
2026-07-31T00:00:00,/synthetic/storage,400795,222274837600
2026-08-01T00:00:00,/synthetic/storage,401781,222609976781
2026-08-02T00:00:00,/synthetic/storage,404156,223481205552
2026-08-03T00:00:00,/synthetic/storage,408613,225076504953
2026-08-04T00:00:00,/synthetic/storage,414012,227019654711
2026-08-05T00:00:00,/synthetic/storage,410312,225674846479
2026-08-06T00:00:00,/synthetic/storage,414924,227318615777
2026-08-07T00:00:00,/synthetic/storage,407569,224678078878
2026-08-08T00:00:00,/synthetic/storage,408982,225182598785
2026-08-09T00:00:00,/synthetic/storage,410735,225836984924
2026-08-10T00:00:00,/synthetic/storage,413285,226748184212
2026-08-11T00:00:00,/synthetic/storage,415815,227692946780
2026-08-12T00:00:00,/synthetic/storage,421568,229749766734
2026-08-13T00:00:00,/synthetic/storage,426037,231358661926
2026-08-14T00:00:00,/synthetic/storage,428182,232155362420
2026-08-15T00:00:00,/synthetic/storage,432198,233590847625
2026-08-16T00:00:00,/synthetic/storage,435215,234646564359
2026-08-17T00:00:00,/synthetic/storage,439730,236236785588
2026-08-18T00:00:00,/synthetic/storage,442409,237201878630
2026-08-19T00:00:00,/synthetic/storage,445314,238243789008
2026-08-20T00:00:00,/synthetic/storage,447978,239208157637
2026-08-21T00:00:00,/synthetic/storage,451683,240605117344
2026-08-22T00:00:00,/synthetic/storage,454004,241434115108
2026-08-23T00:00:00,/synthetic/storage,457180,242582501695
2026-08-24T00:00:00,/synthetic/storage,481460,251301006189
2026-08-25T00:00:00,/synthetic/storage,483932,252210409516
2026-08-26T00:00:00,/synthetic/storage,487647,253537909317
2026-08-27T00:00:00,/synthetic/storage,491472,254949717992
2026-08-28T00:00:00,/synthetic/storage,497446,257080393578
2026-08-29T00:00:00,/synthetic/storage,499847,257935568176
2026-08-30T00:00:00,/synthetic/storage,501518,258554765698
2026-08-31T00:00:00,/synthetic/storage,504155,259477140163
2026-09-01T00:00:00,/synthetic/storage,506050,260152099245
2026-09-02T00:00:00,/synthetic/storage,509130,261245508227
2026-09-03T00:00:00,/synthetic/storage,510622,261784804160
2026-09-04T00:00:00,/synthetic/storage,516505,263854798342
2026-09-05T00:00:00,/synthetic/storage,518941,264722144309
2026-09-06T00:00:00,/synthetic/storage,521655,265687850038
2026-09-07T00:00:00,/synthetic/storage,525811,267172471702
2026-09-08T00:00:00,/synthetic/storage,531985,269354101608
2026-09-09T00:00:00,/synthetic/storage,534198,270151604256
